current,R,G,B
0.008696,0.396,0.396,0.639
0.003978,0.396,0.396,0.396
0.003773,0.396,0.396,0.396
0.008404,0.396,0.396,0.639
0.008473,0.396,0.396,0.639
0.002388,0.396,0.639,0.000
0.045132,0.639,0.639,0.639
0.015722,0.639,0.396,0.639
0.051676,0.639,0.639,0.639
0.053315,0.639,0.639,0.639
0.014237,0.396,0.639,0.639
0.003589,0.639,0.000,0.639
0.001721,0.000,0.639,0.000
0.001928,0.396,0.000,0.396
0.006455,0.000,0.639,0.639
0.001600,0.000,0.639,0.000
0.007553,0.639,0.396,0.396
0.002744,0.000,0.396,0.396
0.001579,0.000,0.000,0.396
0.002798,0.639,0.000,0.396
0.016317,0.639,0.396,0.639
0.001230,0.000,0.000,0.000
0.003853,0.396,0.396,0.396
0.004049,0.396,0.396,0.396
0.003063,0.000,0.396,0.396
0.004132,0.000,0.396,0.639
0.021933,0.639,0.639,0.396
0.001817,0.396,0.000,0.396
0.002758,0.396,0.000,0.639
0.015693,0.639,0.396,0.639
0.001701,0.639,0.000,0.000
0.004391,0.639,0.639,0.000
0.006984,0.396,0.639,0.396
0.002689,0.000,0.396,0.396
0.002171,0.639,0.396,0.000
0.001682,0.396,0.000,0.396
0.045401,0.639,0.639,0.639
0.004329,0.000,0.396,0.639
0.004584,0.639,0.639,0.000
0.024343,0.639,0.639,0.396
0.012806,0.396,0.639,0.639
0.001476,0.000,0.000,0.396
0.002827,0.000,0.396,0.396
0.010184,0.396,0.396,0.639
0.008718,0.639,0.396,0.396
0.047143,0.639,0.639,0.639
0.002557,0.639,0.000,0.396
0.016236,0.639,0.396,0.639
0.007961,0.639,0.396,0.396
0.001834,0.396,0.396,0.000
0.002454,0.639,0.396,0.000
0.002951,0.639,0.000,0.396
0.002807,0.000,0.396,0.396
0.001793,0.396,0.396,0.000
0.003855,0.639,0.000,0.639
0.023472,0.639,0.639,0.396
0.004487,0.639,0.639,0.000
0.007858,0.396,0.396,0.639
0.001662,0.639,0.000,0.000
0.014107,0.396,0.639,0.639
0.006443,0.396,0.639,0.396
0.004640,0.639,0.639,0.000
0.001736,0.639,0.000,0.000
0.042226,0.639,0.639,0.639
0.001712,0.000,0.639,0.000
0.004317,0.639,0.000,0.639
0.003938,0.639,0.000,0.639
0.002282,0.639,0.396,0.000
0.015159,0.639,0.396,0.639
0.001615,0.000,0.639,0.000
0.002228,0.396,0.639,0.000
0.002327,0.396,0.639,0.000
0.044594,0.639,0.639,0.639
0.025538,0.639,0.639,0.396
0.016321,0.639,0.396,0.639
0.015362,0.639,0.396,0.639
0.004553,0.639,0.639,0.000
0.002338,0.396,0.000,0.639
0.002282,0.639,0.396,0.000
0.004320,0.639,0.639,0.000
0.001772,0.000,0.639,0.000
0.002190,0.639,0.396,0.000
0.002431,0.639,0.396,0.000
0.001570,0.000,0.639,0.000
0.002353,0.396,0.639,0.000
0.004138,0.639,0.000,0.639
0.004729,0.639,0.639,0.000
0.001691,0.396,0.000,0.396
0.001806,0.396,0.396,0.000
0.007726,0.396,0.396,0.639
0.015758,0.639,0.396,0.639
0.002391,0.639,0.396,0.000
0.023366,0.639,0.639,0.396
0.006337,0.396,0.639,0.396
0.001657,0.000,0.000,0.639
0.001731,0.639,0.000,0.000
0.008491,0.396,0.639,0.396
0.001749,0.000,0.000,0.639
0.002433,0.396,0.000,0.639
0.001715,0.639,0.000,0.000
0.004281,0.000,0.396,0.639
0.004245,0.639,0.639,0.000
0.002708,0.000,0.396,0.396
0.001094,0.000,0.000,0.000
0.001355,0.396,0.000,0.000
0.001625,0.000,0.639,0.000
0.001745,0.639,0.000,0.000
0.001481,0.000,0.396,0.000
0.001741,0.639,0.000,0.000
0.002750,0.639,0.000,0.396
0.004108,0.000,0.396,0.639
0.002699,0.639,0.000,0.396
0.023806,0.639,0.639,0.396
0.004838,0.000,0.396,0.639
0.001782,0.396,0.000,0.396
0.004530,0.000,0.639,0.396
0.006661,0.396,0.639,0.396
0.003982,0.396,0.396,0.396
0.004634,0.000,0.639,0.396
0.017464,0.639,0.396,0.639
0.040684,0.639,0.639,0.639
0.003088,0.000,0.396,0.396
0.041814,0.639,0.639,0.639
0.008226,0.396,0.396,0.639
0.002573,0.396,0.000,0.639
0.001500,0.396,0.000,0.000
0.007827,0.639,0.396,0.396
0.001825,0.396,0.000,0.396
0.001410,0.000,0.000,0.396
0.001043,0.000,0.000,0.000
0.001515,0.000,0.000,0.396
0.002409,0.639,0.396,0.000
0.002614,0.639,0.000,0.396
0.008512,0.639,0.396,0.396
0.002224,0.000,0.396,0.396
0.002723,0.000,0.396,0.396
0.001707,0.396,0.000,0.396
0.004076,0.396,0.396,0.396
0.023643,0.639,0.639,0.396
0.002519,0.639,0.396,0.000
0.001919,0.396,0.000,0.396
0.001467,0.000,0.000,0.396
0.013615,0.396,0.639,0.639
0.008418,0.396,0.396,0.639
0.001764,0.396,0.000,0.396
0.002521,0.396,0.000,0.639
0.007197,0.396,0.639,0.396
0.016575,0.639,0.396,0.639
0.003999,0.000,0.639,0.396
0.018198,0.639,0.396,0.639
0.046558,0.639,0.639,0.639
0.002759,0.000,0.396,0.396
0.002912,0.000,0.396,0.396
0.006488,0.396,0.639,0.396
0.013398,0.396,0.639,0.639
0.003788,0.639,0.000,0.639
0.002536,0.639,0.000,0.396
0.007448,0.639,0.396,0.396
0.002292,0.639,0.396,0.000
0.002161,0.639,0.396,0.000
0.001862,0.396,0.000,0.396
0.045003,0.639,0.639,0.639
0.007152,0.000,0.639,0.639
0.004266,0.639,0.639,0.000
0.002554,0.639,0.000,0.396
0.002467,0.639,0.396,0.000
0.001583,0.639,0.000,0.000
0.007794,0.639,0.396,0.396
0.001591,0.000,0.396,0.000
0.009215,0.396,0.396,0.639
0.002423,0.396,0.639,0.000
0.002379,0.639,0.000,0.396
0.002629,0.396,0.000,0.639
0.001867,0.396,0.396,0.000
0.002177,0.639,0.396,0.000
0.001510,0.000,0.000,0.396
0.004072,0.396,0.396,0.396
0.001775,0.000,0.639,0.000
0.004138,0.396,0.396,0.396
0.002557,0.639,0.000,0.396
0.001766,0.639,0.000,0.000
0.007244,0.639,0.396,0.396
0.001190,0.000,0.000,0.000
0.001903,0.396,0.396,0.000
0.003599,0.396,0.396,0.396
0.008840,0.639,0.396,0.396
0.010223,0.396,0.639,0.396
0.007980,0.000,0.639,0.639
0.004214,0.639,0.000,0.639
0.006607,0.000,0.639,0.639
0.001674,0.000,0.639,0.000
0.003724,0.396,0.396,0.396
0.002583,0.639,0.396,0.000
0.001472,0.396,0.000,0.000
0.004664,0.000,0.396,0.639
0.004726,0.639,0.639,0.000
0.002753,0.639,0.000,0.396
0.001446,0.000,0.396,0.000
0.008694,0.396,0.396,0.639
0.007482,0.000,0.639,0.639
0.003997,0.639,0.000,0.639
0.001926,0.396,0.000,0.396
0.002801,0.639,0.000,0.396
0.004386,0.639,0.639,0.000
0.008472,0.396,0.396,0.639
0.002002,0.396,0.396,0.000
0.006568,0.000,0.639,0.639
0.002514,0.639,0.396,0.000
0.002330,0.639,0.000,0.396
0.002171,0.396,0.639,0.000
0.007538,0.639,0.396,0.396
0.021192,0.639,0.639,0.396
0.001132,0.000,0.000,0.000
0.002305,0.639,0.396,0.000
0.001676,0.396,0.396,0.000
0.044383,0.639,0.639,0.639
0.015305,0.639,0.396,0.639
0.002204,0.639,0.396,0.000
0.004454,0.000,0.639,0.396
0.022053,0.639,0.639,0.396
0.004106,0.396,0.396,0.396
0.001122,0.000,0.000,0.000
0.004704,0.000,0.639,0.396
0.001670,0.000,0.000,0.639
0.002197,0.396,0.639,0.000
0.002963,0.396,0.000,0.639
0.043624,0.639,0.639,0.639
0.001476,0.396,0.000,0.000
0.002400,0.396,0.639,0.000
0.006469,0.396,0.639,0.396
0.001661,0.639,0.000,0.000
0.003980,0.396,0.396,0.396
0.003941,0.639,0.000,0.639
0.001844,0.000,0.000,0.639
0.002691,0.639,0.000,0.396
0.013859,0.396,0.639,0.639
0.002310,0.639,0.396,0.000
0.001611,0.639,0.000,0.000
0.006763,0.396,0.639,0.396
0.045895,0.639,0.639,0.639
0.045590,0.639,0.639,0.639
0.006964,0.000,0.639,0.639
0.048120,0.639,0.639,0.639
0.002882,0.000,0.396,0.396
0.014673,0.396,0.639,0.639
0.001575,0.396,0.000,0.000
0.007383,0.396,0.639,0.396
0.004466,0.639,0.639,0.000
0.006766,0.396,0.639,0.396
0.004339,0.000,0.396,0.639
0.002520,0.396,0.639,0.000
0.004111,0.000,0.396,0.639
0.006601,0.396,0.639,0.396
0.002455,0.639,0.000,0.396
0.007491,0.639,0.396,0.396
0.001987,0.639,0.000,0.000
0.024633,0.639,0.639,0.396
0.016654,0.639,0.396,0.639
0.001407,0.000,0.396,0.000
0.002168,0.639,0.396,0.000
0.002900,0.000,0.396,0.396
0.007915,0.639,0.396,0.396
0.007879,0.639,0.396,0.396
0.001352,0.000,0.000,0.396
0.008186,0.639,0.396,0.396
0.002614,0.000,0.396,0.396
0.002778,0.639,0.000,0.396
0.002233,0.639,0.396,0.000
0.016034,0.639,0.396,0.639
0.002712,0.639,0.000,0.396
0.004447,0.639,0.639,0.000
0.002613,0.639,0.396,0.000
0.006081,0.639,0.639,0.000
0.008275,0.396,0.639,0.396
0.001334,0.000,0.000,0.396
0.001741,0.000,0.000,0.639
0.004126,0.639,0.000,0.639
0.001712,0.396,0.000,0.396
0.001872,0.396,0.000,0.396
0.001497,0.000,0.396,0.000
0.002379,0.639,0.396,0.000
0.001866,0.639,0.000,0.000
0.001895,0.639,0.000,0.000
0.004012,0.639,0.000,0.639
0.008413,0.396,0.396,0.639
0.006993,0.639,0.396,0.396
0.001771,0.396,0.396,0.000
0.014539,0.396,0.639,0.639
0.002451,0.639,0.396,0.000
0.008041,0.396,0.396,0.639
0.004003,0.639,0.000,0.639
0.008437,0.396,0.396,0.639
0.001866,0.639,0.000,0.000
0.001776,0.396,0.000,0.396
0.003820,0.639,0.000,0.639
0.001882,0.396,0.000,0.396
0.002271,0.639,0.396,0.000
0.001705,0.396,0.396,0.000
0.001431,0.000,0.000,0.396
0.004956,0.639,0.639,0.000
0.007816,0.396,0.396,0.639
0.003229,0.000,0.396,0.396
0.004420,0.396,0.396,0.396
0.001417,0.000,0.000,0.396
0.007540,0.000,0.639,0.639
0.002436,0.639,0.396,0.000
0.006691,0.000,0.639,0.639
0.001487,0.000,0.396,0.000
0.006874,0.396,0.639,0.396
0.014909,0.639,0.396,0.639
0.001410,0.000,0.396,0.000
0.001668,0.000,0.000,0.639
0.002524,0.639,0.000,0.396
0.014572,0.639,0.396,0.639
