current,R,G,B
0.266410,0.498,0.165,0.000
0.219689,0.000,0.416,0.082
0.247641,0.498,0.000,0.082
0.197764,0.247,0.165,0.000
0.300902,0.498,0.416,0.000
0.196550,0.247,0.165,0.000
0.218420,0.000,0.416,0.082
0.291128,0.498,0.000,0.333
0.197413,0.247,0.165,0.000
0.218579,0.000,0.165,0.333
0.291037,0.498,0.000,0.333
0.220632,0.000,0.416,0.082
0.156558,0.247,0.000,0.082
0.121424,0.000,0.165,0.082
0.197862,0.247,0.165,0.000
0.245337,0.498,0.000,0.082
0.231782,0.247,0.000,0.333
0.123266,0.000,0.165,0.082
0.158706,0.247,0.000,0.082
0.119971,0.000,0.165,0.082
0.215602,0.000,0.165,0.333
0.299507,0.498,0.416,0.000
0.156996,0.247,0.000,0.082
0.297398,0.000,0.416,0.333
0.250567,0.498,0.000,0.082
0.291814,0.498,0.000,0.333
0.299354,0.498,0.416,0.000
0.217628,0.000,0.165,0.333
0.230992,0.247,0.000,0.333
0.230969,0.247,0.000,0.333
0.249081,0.498,0.000,0.082
0.300022,0.498,0.416,0.000
0.231421,0.247,0.000,0.333
0.254077,0.498,0.165,0.000
0.217884,0.000,0.416,0.082
0.265239,0.498,0.165,0.000
0.265009,0.498,0.165,0.000
0.195922,0.247,0.165,0.000
0.263607,0.247,0.416,0.000
0.215097,0.000,0.165,0.333
0.298521,0.498,0.416,0.000
0.121387,0.000,0.165,0.082
0.218635,0.000,0.416,0.082
0.218123,0.000,0.165,0.333
0.248257,0.498,0.000,0.082
0.256006,0.247,0.416,0.000
0.155540,0.247,0.000,0.082
0.214472,0.000,0.165,0.333
0.297831,0.000,0.416,0.333
0.219629,0.000,0.416,0.082
0.215085,0.000,0.165,0.333
0.246046,0.498,0.000,0.082
0.122344,0.000,0.165,0.082
0.117491,0.000,0.165,0.082
0.246442,0.498,0.000,0.082
0.197613,0.247,0.165,0.000
0.119747,0.000,0.165,0.082
0.259978,0.247,0.416,0.000
0.122612,0.000,0.165,0.082
0.296914,0.000,0.416,0.333
0.220365,0.000,0.416,0.082
0.197944,0.247,0.165,0.000
0.297683,0.000,0.416,0.333
0.158925,0.247,0.000,0.082
0.230237,0.247,0.000,0.333
0.121883,0.000,0.165,0.082
0.120426,0.000,0.165,0.082
0.227036,0.247,0.000,0.333
0.266120,0.247,0.416,0.000
0.262879,0.247,0.416,0.000
0.121138,0.000,0.165,0.082
0.298520,0.498,0.416,0.000
0.157464,0.247,0.000,0.082
0.262892,0.247,0.416,0.000
0.267651,0.498,0.165,0.000
0.264933,0.247,0.416,0.000
0.122201,0.000,0.165,0.082
0.158194,0.247,0.000,0.082
0.200918,0.247,0.165,0.000
0.230897,0.247,0.000,0.333
0.229420,0.247,0.000,0.333
0.219265,0.000,0.416,0.082
0.258971,0.498,0.165,0.000
0.299073,0.498,0.416,0.000
0.199727,0.247,0.165,0.000
0.199915,0.247,0.165,0.000
0.265100,0.247,0.416,0.000
0.291657,0.498,0.000,0.333
0.156672,0.247,0.000,0.082
0.218691,0.000,0.165,0.333
0.216923,0.000,0.165,0.333
0.297139,0.000,0.416,0.333
0.218667,0.000,0.165,0.333
0.195965,0.247,0.165,0.000
0.218388,0.000,0.165,0.333
0.291464,0.498,0.000,0.333
0.260569,0.247,0.416,0.000
0.246713,0.498,0.000,0.082
0.298010,0.000,0.416,0.333
0.262366,0.247,0.416,0.000
0.300358,0.498,0.416,0.000
0.119536,0.000,0.165,0.082
0.287954,0.498,0.000,0.333
0.231867,0.247,0.000,0.333
0.297684,0.000,0.416,0.333
0.292886,0.498,0.000,0.333
0.245831,0.498,0.000,0.082
0.217932,0.000,0.416,0.082
0.289378,0.498,0.000,0.333
0.298456,0.000,0.416,0.333
0.200968,0.247,0.165,0.000
0.197274,0.247,0.165,0.000
0.227683,0.247,0.000,0.333
0.300220,0.498,0.416,0.000
0.300442,0.498,0.416,0.000
0.293298,0.498,0.000,0.333
0.199074,0.247,0.165,0.000
0.214920,0.000,0.165,0.333
0.156841,0.247,0.000,0.082
0.120423,0.000,0.165,0.082
0.232543,0.247,0.000,0.333
0.155937,0.247,0.000,0.082
0.260782,0.247,0.416,0.000
0.218255,0.000,0.416,0.082
0.154581,0.247,0.000,0.082
0.218312,0.000,0.416,0.082
0.198083,0.247,0.165,0.000
0.290710,0.498,0.000,0.333
0.219620,0.000,0.416,0.082
0.247358,0.498,0.000,0.082
0.216995,0.000,0.165,0.333
0.120413,0.000,0.165,0.082
0.229229,0.247,0.000,0.333
0.258517,0.247,0.416,0.000
0.231420,0.247,0.000,0.333
0.220826,0.000,0.416,0.082
0.195923,0.247,0.165,0.000
0.121619,0.000,0.165,0.082
0.290809,0.498,0.000,0.333
0.197669,0.247,0.165,0.000
0.216572,0.000,0.165,0.333
0.297879,0.000,0.416,0.333
0.261986,0.247,0.416,0.000
0.265055,0.498,0.165,0.000
0.300602,0.498,0.416,0.000
0.195073,0.247,0.165,0.000
0.155749,0.247,0.000,0.082
0.296738,0.000,0.416,0.333
0.294073,0.498,0.000,0.333
0.122075,0.000,0.165,0.082
0.298879,0.498,0.416,0.000
0.155972,0.247,0.000,0.082
0.229372,0.247,0.000,0.333
0.219653,0.000,0.416,0.082
0.298110,0.000,0.416,0.333
0.291688,0.498,0.000,0.333
0.219837,0.000,0.416,0.082
0.117406,0.000,0.165,0.082
0.298876,0.498,0.416,0.000
0.226791,0.247,0.000,0.333
0.266109,0.498,0.165,0.000
0.120357,0.000,0.165,0.082
0.229105,0.247,0.000,0.333
0.248541,0.498,0.000,0.082
0.217357,0.000,0.416,0.082
0.157444,0.247,0.000,0.082
0.218093,0.000,0.416,0.082
0.218416,0.000,0.165,0.333
0.232022,0.247,0.000,0.333
0.216819,0.000,0.165,0.333
0.292159,0.498,0.000,0.333
0.219876,0.000,0.416,0.082
0.120185,0.000,0.165,0.082
0.296653,0.000,0.416,0.333
0.159063,0.247,0.000,0.082
0.245968,0.498,0.000,0.082
0.120566,0.000,0.165,0.082
0.219039,0.000,0.416,0.082
0.262442,0.247,0.416,0.000
0.246331,0.498,0.000,0.082
0.231872,0.247,0.000,0.333
0.216838,0.000,0.165,0.333
0.120099,0.000,0.165,0.082
0.217537,0.000,0.165,0.333
0.228546,0.247,0.000,0.333
0.229700,0.247,0.000,0.333
0.264581,0.247,0.416,0.000
0.264311,0.498,0.165,0.000
0.195595,0.247,0.165,0.000
0.120941,0.000,0.165,0.082
0.265897,0.498,0.165,0.000
0.195889,0.247,0.165,0.000
0.230314,0.247,0.000,0.333
0.259383,0.247,0.416,0.000
0.292017,0.498,0.000,0.333
0.218584,0.000,0.416,0.082
0.198867,0.247,0.165,0.000
0.193891,0.247,0.165,0.000
0.121780,0.000,0.165,0.082
0.261103,0.247,0.416,0.000
0.198153,0.247,0.165,0.000
0.219424,0.000,0.416,0.082
0.218974,0.000,0.416,0.082
0.267892,0.498,0.165,0.000
0.218636,0.000,0.165,0.333
0.220594,0.000,0.416,0.082
0.156043,0.247,0.000,0.082
0.155600,0.247,0.000,0.082
0.229831,0.247,0.000,0.333
0.298285,0.000,0.416,0.333
0.298588,0.000,0.416,0.333
0.159257,0.247,0.000,0.082
0.219608,0.000,0.416,0.082
0.250763,0.498,0.000,0.082
0.197018,0.247,0.165,0.000
0.229708,0.247,0.000,0.333
0.218883,0.000,0.165,0.333
0.231124,0.247,0.000,0.333
0.298262,0.000,0.416,0.333
0.156434,0.247,0.000,0.082
0.297204,0.000,0.416,0.333
0.267218,0.498,0.165,0.000
0.298583,0.000,0.416,0.333
0.293032,0.498,0.000,0.333
0.220127,0.000,0.165,0.333
0.120660,0.000,0.165,0.082
0.265690,0.498,0.165,0.000
0.229214,0.247,0.000,0.333
0.298439,0.000,0.416,0.333
0.265367,0.247,0.416,0.000
0.156836,0.247,0.000,0.082
0.196994,0.247,0.165,0.000
0.297939,0.000,0.416,0.333
0.298659,0.000,0.416,0.333
0.266438,0.498,0.165,0.000
0.248684,0.498,0.000,0.082
0.123117,0.000,0.165,0.082
0.214114,0.000,0.165,0.333
0.122186,0.000,0.165,0.082
0.199868,0.247,0.165,0.000
0.263970,0.247,0.416,0.000
0.249087,0.498,0.000,0.082
0.301189,0.498,0.416,0.000
0.298743,0.000,0.416,0.333
0.250955,0.498,0.000,0.082
0.245783,0.498,0.000,0.082
0.300758,0.498,0.416,0.000
0.263127,0.498,0.165,0.000
0.233758,0.247,0.000,0.333
0.261359,0.247,0.416,0.000
0.230954,0.247,0.000,0.333
0.263602,0.247,0.416,0.000
0.289084,0.498,0.000,0.333
0.220876,0.000,0.416,0.082
0.230847,0.247,0.000,0.333
0.229406,0.247,0.000,0.333
0.299548,0.498,0.416,0.000
0.266573,0.498,0.165,0.000
0.263845,0.247,0.416,0.000
0.201803,0.247,0.165,0.000
0.289472,0.498,0.000,0.333
0.159078,0.247,0.000,0.082
0.199588,0.247,0.165,0.000
0.159255,0.247,0.000,0.082
0.153780,0.247,0.000,0.082
0.155678,0.247,0.000,0.082
0.195295,0.247,0.165,0.000
0.119736,0.000,0.165,0.082
0.264267,0.498,0.165,0.000
0.218746,0.000,0.165,0.333
0.248712,0.498,0.000,0.082
0.263394,0.247,0.416,0.000
0.298495,0.000,0.416,0.333
0.220044,0.000,0.165,0.333
0.247520,0.498,0.000,0.082
0.298158,0.000,0.416,0.333
0.220535,0.000,0.416,0.082
0.298107,0.000,0.416,0.333
0.199739,0.247,0.165,0.000
0.299085,0.498,0.416,0.000
0.298495,0.000,0.416,0.333
0.301741,0.498,0.416,0.000
0.287386,0.498,0.000,0.333
0.217039,0.000,0.165,0.333
0.261278,0.247,0.416,0.000
0.300479,0.498,0.416,0.000
0.243761,0.498,0.000,0.082
0.298290,0.000,0.416,0.333
0.248167,0.498,0.000,0.082
0.248055,0.498,0.000,0.082
0.123615,0.000,0.165,0.082
0.264430,0.498,0.165,0.000
0.214117,0.000,0.165,0.333
0.297983,0.000,0.416,0.333
0.231804,0.247,0.000,0.333
0.263569,0.247,0.416,0.000
0.298405,0.000,0.416,0.333
0.219375,0.000,0.165,0.333
0.297758,0.000,0.416,0.333
0.159188,0.247,0.000,0.082
0.221480,0.000,0.416,0.082
0.157483,0.247,0.000,0.082
0.290002,0.498,0.000,0.333
0.298520,0.000,0.416,0.333
0.261739,0.247,0.416,0.000
0.120084,0.000,0.165,0.082
0.246731,0.498,0.000,0.082
0.246794,0.498,0.000,0.082
0.292522,0.498,0.000,0.333
0.122017,0.000,0.165,0.082
0.297155,0.000,0.416,0.333
0.123973,0.000,0.165,0.082
0.265625,0.498,0.165,0.000
0.120835,0.000,0.165,0.082
0.215628,0.000,0.165,0.333
0.223490,0.000,0.416,0.082
0.125356,0.000,0.165,0.082
0.299128,0.498,0.416,0.000
0.229770,0.247,0.000,0.333
0.298193,0.000,0.416,0.333
0.159391,0.247,0.000,0.082
0.297469,0.000,0.416,0.333
0.263666,0.247,0.416,0.000
0.199603,0.247,0.165,0.000
0.247589,0.498,0.000,0.082
0.263468,0.247,0.416,0.000
0.158863,0.247,0.000,0.082
0.199458,0.247,0.165,0.000
0.200338,0.247,0.165,0.000
0.291319,0.498,0.000,0.333
0.228873,0.247,0.000,0.333
0.121706,0.000,0.165,0.082
0.217964,0.000,0.165,0.333
0.221917,0.000,0.416,0.082
0.160267,0.247,0.000,0.082
0.266448,0.498,0.165,0.000
0.298268,0.000,0.416,0.333
0.124682,0.000,0.165,0.082
0.219780,0.000,0.416,0.082
0.264516,0.247,0.416,0.000
0.293070,0.498,0.000,0.333
0.198383,0.247,0.165,0.000
0.292240,0.498,0.000,0.333
0.219658,0.000,0.165,0.333
0.231409,0.247,0.000,0.333
