current,R,G,B,rgb unique combination
0.117946, 255, 225, 195,7
0.101828, 255,   0, 195,1
0.104018, 255, 225,   0,2
0.088226, 255,   0,   0,6
0.104018, 255, 225,   0,2
0.117620, 255, 225, 195,7
0.088226, 255,   0,   0,6
0.085525,   0, 225,   0,0
0.117946, 255, 225, 195,7
0.085524,   0, 225,   0,0
0.088319, 255,   0,   0,6
0.104018, 255, 225,   0,2
0.117666, 255, 225, 195,7
0.085361,   0, 225,   0,0
0.069687,   0,   0,   0,5
0.088413, 255,   0,   0,6
0.083149,   0,   0, 195,4
0.104134, 255, 225,   0,2
0.085455,   0, 225,   0,0
0.088366, 255,   0,   0,6
0.083265,   0,   0, 195,4
0.088366, 255,   0,   0,6
0.118039, 255, 225, 195,7
0.101782, 255,   0, 195,1
0.099150,   0, 225, 195,3
0.117876, 255, 225, 195,7
0.088226, 255,   0,   0,6
0.099266,   0, 225, 195,3
0.104087, 255, 225,   0,2
0.085455,   0, 225,   0,0
0.104087, 255, 225,   0,2
0.085455,   0, 225,   0,0
0.099290,   0, 225, 195,3
0.104087, 255, 225,   0,2
0.083126,   0,   0, 195,4
0.069687,   0,   0,   0,5
0.104181, 255, 225,   0,2
0.101968, 255,   0, 195,1
0.083126,   0,   0, 195,4
0.104227, 255, 225,   0,2
0.117806, 255, 225, 195,7
0.085478,   0, 225,   0,0
0.117806, 255, 225, 195,7
0.101688, 255,   0, 195,1
0.088180, 255,   0,   0,6
0.085501,   0, 225,   0,0
0.101968, 255,   0, 195,1
0.099057,   0, 225, 195,3
0.083242,   0,   0, 195,4
0.117969, 255, 225, 195,7
0.083032,   0,   0, 195,4
0.088319, 255,   0,   0,6
0.069687,   0,   0,   0,5
0.118109, 255, 225, 195,7
0.085455,   0, 225,   0,0
0.069687,   0,   0,   0,5
0.102061, 255,   0, 195,1
0.088366, 255,   0,   0,6
0.085478,   0, 225,   0,0
0.083149,   0,   0, 195,4
0.117969, 255, 225, 195,7
0.085431,   0, 225,   0,0
0.083172,   0,   0, 195,4
0.085618,   0, 225,   0,0
0.117922, 255, 225, 195,7
0.083079,   0,   0, 195,4
0.088319, 255,   0,   0,6
0.104064, 255, 225,   0,2
0.088273, 255,   0,   0,6
0.083172,   0,   0, 195,4
0.085571,   0, 225,   0,0
0.104087, 255, 225,   0,2
0.099150,   0, 225, 195,3
0.101805, 255,   0, 195,1
0.099150,   0, 225, 195,3
0.117759, 255, 225, 195,7
0.088180, 255,   0,   0,6
0.099196,   0, 225, 195,3
0.101828, 255,   0, 195,1
0.088226, 255,   0,   0,6
0.104087, 255, 225,   0,2
0.069640,   0,   0,   0,5
0.101991, 255,   0, 195,1
0.088273, 255,   0,   0,6
0.069687,   0,   0,   0,5
0.099290,   0, 225, 195,3
0.088319, 255,   0,   0,6
0.117899, 255, 225, 195,7
0.104018, 255, 225,   0,2
0.117666, 255, 225, 195,7
0.098940,   0, 225, 195,3
0.069687,   0,   0,   0,5
0.104157, 255, 225,   0,2
0.069687,   0,   0,   0,5
0.099359,   0, 225, 195,3
0.085455,   0, 225,   0,0
0.083219,   0,   0, 195,4
0.085501,   0, 225,   0,0
0.099220,   0, 225, 195,3
0.083102,   0,   0, 195,4
0.102061, 255,   0, 195,1
0.103971, 255, 225,   0,2
0.101782, 255,   0, 195,1
0.083149,   0,   0, 195,4
0.099150,   0, 225, 195,3
0.069687,   0,   0,   0,5
0.099383,   0, 225, 195,3
0.101828, 255,   0, 195,1
0.099220,   0, 225, 195,3
0.088273, 255,   0,   0,6
0.099196,   0, 225, 195,3
0.088319, 255,   0,   0,6
0.104064, 255, 225,   0,2
0.085431,   0, 225,   0,0
0.083358,   0,   0, 195,4
0.088366, 255,   0,   0,6
0.085478,   0, 225,   0,0
0.088366, 255,   0,   0,6
0.099150,   0, 225, 195,3
0.069780,   0,   0,   0,5
0.102178, 255,   0, 195,1
0.083126,   0,   0, 195,4
0.099313,   0, 225, 195,3
0.085478,   0, 225,   0,0
0.088319, 255,   0,   0,6
0.069733,   0,   0,   0,5
0.099453,   0, 225, 195,3
0.083172,   0,   0, 195,4
0.118085, 255, 225, 195,7
0.103924, 255, 225,   0,2
0.101688, 255,   0, 195,1
0.083102,   0,   0, 195,4
0.099150,   0, 225, 195,3
0.117783, 255, 225, 195,7
0.069640,   0,   0,   0,5
0.083242,   0,   0, 195,4
0.085478,   0, 225,   0,0
0.083195,   0,   0, 195,4
0.104204, 255, 225,   0,2
0.083242,   0,   0, 195,4
0.118039, 255, 225, 195,7
0.083102,   0,   0, 195,4
0.088319, 255,   0,   0,6
